model,family,delta_mention,delta_use
google/gemma-2-2b,ment,0.05580411032147359,0.04991250469750025
google/gemma-2-2b,dim_et,0.09808693569910687,0.08097559058762749
google/gemma-2-2b,agent_dor,0.026330951934459,-0.009484149438823475
google/gemma-2-2b,nom_cio,0.02787381455638227,0.010503927888004916
google/gemma-2-2b,plural,0.2370718628730682,0.19578446320099768
google/gemma-2-2b,verb_em,0.10442384000046978,0.050681126845578794
google/gemma-2-2b,gender_a,0.17958008007751863,0.11126860821732937
google/gemma-2-2b,gem_lla,0.11288519402263814,0.09638672810448434
google/gemma-2-2b,cedilla,-0.02093155434057964,0.03382797791282671
google/gemma-2-2b,ny,0.05606372508995905,0.07922200520484263
google/gemma-2-2b,pre_des,0.19336412393079216,0.18171557308092945
google/gemma-2-2b,pre_re,0.2355730313482673,0.22010402414154973
google/gemma-2-2b,pre_in,0.24036536505237277,0.20422979784080225
google/gemma-2-2b,nom_cio_d1,-0.03465868111505954,-0.04212832830879465
google/gemma-4-E2B,ment,0.011505624231883504,0.02121792900354247
google/gemma-4-E2B,dim_et,-0.00790260458483999,0.024776925974561548
google/gemma-4-E2B,agent_dor,-0.018441160476240115,-0.053976968576996076
google/gemma-4-E2B,nom_cio,-0.08003544793854256,1.3650533814191235e-05
google/gemma-4-E2B,plural,0.1531348029012014,0.18295236010758376
google/gemma-4-E2B,verb_em,-0.009152083255088761,0.06466248975569178
google/gemma-4-E2B,gender_a,0.14650566543141397,0.13047352586978134
google/gemma-4-E2B,gem_lla,0.04297530980170139,0.04225215955405581
google/gemma-4-E2B,cedilla,-0.013681085847087493,-0.04569690318485736
google/gemma-4-E2B,ny,0.06699085769559504,0.025764501261363204
google/gemma-4-E2B,pre_des,0.1031195684549786,0.06931371421595134
google/gemma-4-E2B,pre_re,0.0894580066651427,0.09364593505717378
google/gemma-4-E2B,pre_in,0.13128488919211267,0.12811325487168757
google/gemma-4-E2B,nom_cio_d1,-0.10241562692085582,-0.01384775872564803
Qwen/Qwen2-1.5B,ment,0.03579145482685825,0.04643088655004046
Qwen/Qwen2-1.5B,dim_et,0.07943627259694258,0.069613935358605
Qwen/Qwen2-1.5B,agent_dor,-0.055044966446781696,-0.04832599004873728
Qwen/Qwen2-1.5B,nom_cio,-0.17728779843812903,-0.18027764477225505
Qwen/Qwen2-1.5B,plural,0.16778465318847308,0.13913881383265597
Qwen/Qwen2-1.5B,verb_em,0.03332085991310341,0.030702332983269076
Qwen/Qwen2-1.5B,gender_a,0.10033711960881692,0.05321162475518576
Qwen/Qwen2-1.5B,gem_lla,0.06281298223876819,0.02813012493469902
Qwen/Qwen2-1.5B,cedilla,-0.04886169413932029,-0.049239914047502
Qwen/Qwen2-1.5B,ny,0.06663251797381553,0.04275549099485626
Qwen/Qwen2-1.5B,pre_des,0.09247988222557457,0.12054159514987228
Qwen/Qwen2-1.5B,pre_re,0.20929537884209404,0.1894537649732515
Qwen/Qwen2-1.5B,pre_in,0.18946230006550224,0.16522373112618466
Qwen/Qwen2-1.5B,nom_cio_d1,-0.07321484492164076,-0.08142177487419078
Qwen/Qwen3.5-4B-Base,ment,0.0963150485062857,0.05942633754997273
Qwen/Qwen3.5-4B-Base,dim_et,0.0659038396765842,0.057685032564110006
Qwen/Qwen3.5-4B-Base,agent_dor,0.009218087693058763,0.007844948616221648
Qwen/Qwen3.5-4B-Base,nom_cio,-0.01018896666113489,-0.019385696103435213
Qwen/Qwen3.5-4B-Base,plural,0.1638348251802847,0.1842985795732886
Qwen/Qwen3.5-4B-Base,verb_em,0.017523697977624098,0.013814550675414927
Qwen/Qwen3.5-4B-Base,gender_a,0.09572571813148567,0.04558359777106025
Qwen/Qwen3.5-4B-Base,gem_lla,0.07400637555527545,0.033356056763627406
Qwen/Qwen3.5-4B-Base,cedilla,0.025658198516549935,-0.023917089014434345
Qwen/Qwen3.5-4B-Base,ny,0.003868790032665159,-0.009329473012565814
Qwen/Qwen3.5-4B-Base,pre_des,0.12056789651441324,0.11709536140559007
Qwen/Qwen3.5-4B-Base,pre_re,0.15446056902854544,0.1656166343599622
Qwen/Qwen3.5-4B-Base,pre_in,0.24949179220633128,0.19925421686005285
Qwen/Qwen3.5-4B-Base,nom_cio_d1,-0.06676871922901717,-0.046875898884948586
BSC-LT/salamandra-2b,ment,-0.004081136916206596,0.04408340502075847
BSC-LT/salamandra-2b,dim_et,0.24964536806614912,0.19426599257710192
BSC-LT/salamandra-2b,agent_dor,0.16800147165309243,0.10203756268963182
BSC-LT/salamandra-2b,nom_cio,0.14700991241448502,0.05000889491181759
BSC-LT/salamandra-2b,plural,0.18600573070327275,0.18625052273535897
BSC-LT/salamandra-2b,verb_em,0.2405490315754818,0.09940565187007322
BSC-LT/salamandra-2b,gender_a,0.27346889983222444,0.18099225888284898
BSC-LT/salamandra-2b,gem_lla,0.17297185700580792,0.09130798710682042
BSC-LT/salamandra-2b,cedilla,0.16294884288139055,0.1418447053047705
BSC-LT/salamandra-2b,ny,0.21584712056504674,0.1448780347329358
BSC-LT/salamandra-2b,pre_des,0.3364607495818077,0.3624964803374724
BSC-LT/salamandra-2b,pre_re,0.2713296011889078,0.28507799312787807
BSC-LT/salamandra-2b,pre_in,0.3458795604604797,0.3417152571548328
BSC-LT/salamandra-2b,nom_cio_d1,0.01986555080649932,-0.02241082606212863
