model,ca_fertility,en_fertility,gap,ci_lo,ci_hi
deepseek-ai/deepseek-llm-67b-base,2.457943925233645,1.25,1.207943925233645,1.092523364485981,1.3317757009345794
Qwen/Qwen2-1.5B,2.7289719626168223,1.55,1.1789719626168222,1.0147157320872273,1.3276771806853584
google/gemma-4-E2B,2.4205607476635516,1.2666666666666666,1.153894080996885,1.0249980529595017,1.2798753894080994
google/gemma-4-26B-A4B,2.4205607476635516,1.2666666666666666,1.153894080996885,1.0267445482866042,1.2746592679127726
google/gemma-2-2b,2.2866043613707165,1.2,1.0866043613707166,0.9660922897196262,1.197768691588785
Qwen/Qwen3.6-35B-A3B,2.514018691588785,1.525,0.9890186915887851,0.8558197040498441,1.1106717289719625
Qwen/Qwen3.5-4B-Base,2.514018691588785,1.525,0.9890186915887851,0.8547488317757008,1.1190284267912773
mistralai/Mistral-Small-24B-Base-2501,2.5576323987538943,1.675,0.8826323987538942,0.732864096573209,1.0337188473520247
BSC-LT/salamandra-7b,1.7850467289719627,1.2083333333333333,0.5767133956386294,0.46757398753894075,0.7004166666666666
BSC-LT/ALIA-40b,1.7850467289719627,1.2083333333333333,0.5767133956386294,0.46542056074766347,0.6880237538940811
BSC-LT/salamandra-2b,1.7850467289719627,1.2083333333333333,0.5767133956386294,0.46646028037383186,0.6869957165109035
