scope,key,condition,metric,mean,ci_lo,ci_hi,n
model,google/gemma-2-2b,delta,direction_consistency,0.10798805710363346,0.058600534528636464,0.15574353044506042,14
model,google/gemma-4-E2B,delta,direction_consistency,0.036667622525098184,-0.004401064996998989,0.07718984338123203,14
model,Qwen/Qwen2-1.5B,delta,direction_consistency,0.0487817226810055,-0.005240322280595104,0.10151194830353111,14
model,Qwen/Qwen3.5-4B-Base,delta,direction_consistency,0.07140122522349654,0.031954153064395675,0.11445473225256482,14
model,BSC-LT/salamandra-2b,delta,direction_consistency,0.19899303998703136,0.1476302961325435,0.2485704079949044,14
family,ment,delta,direction_consistency,0.03906702019405889,0.010128085891642413,0.07125097601444283,5
family,dim_et,delta,direction_consistency,0.09703396229078856,0.030763078908305895,0.17892290545899656,5
family,agent_dor,delta,direction_consistency,0.026012876871517675,-0.027595556019603184,0.09895626843521918,5
family,nom_cio,delta,direction_consistency,-0.018525697213387836,-0.11242825626760622,0.07552825369962338,5
family,plural,delta,direction_consistency,0.18156637496926004,0.16113474747192674,0.21223097804059332,5
family,verb_em,delta,direction_consistency,0.07733306924231806,0.013172250258730677,0.1633837702943653,5
family,gender_a,delta,direction_consistency,0.15912349661629194,0.10772626818240383,0.22006477983660178,5
family,gem_lla,delta,direction_consistency,0.09313034372483822,0.05711659192724292,0.13691985921590605,5
family,cedilla,delta,direction_consistency,0.021026541414190615,-0.03065351656137747,0.09229687138999934,5
family,ny,delta,direction_consistency,0.0818806022714163,0.02904594915348121,0.15411918889613885,5
family,pre_des,delta,direction_consistency,0.16919844414151325,0.10235335957510391,0.25904525098035797,5
family,pre_re,delta,direction_consistency,0.19202331741459144,0.13883283804257626,0.24800379137002748,5
family,pre_in,delta,direction_consistency,0.23129678139535975,0.16656175196963433,0.2934932692998628,5
family,nom_cio_d1,delta,direction_consistency,-0.0514384642760148,-0.08360593258280206,-0.012848988346435997,5
model,google/gemma-2-2b,delta,analogy_acc,0.047042124542124544,0.0008456959706959789,0.0876607142857143,14
model,google/gemma-4-E2B,delta,analogy_acc,0.07382783882783882,-0.0007351190476190628,0.15727083333333333,14
model,Qwen/Qwen2-1.5B,delta,analogy_acc,0.02954212454212454,-0.017624542124542123,0.07657326007326005,14
model,Qwen/Qwen3.5-4B-Base,delta,analogy_acc,0.13878205128205132,0.08629761904761907,0.20433195970695975,14
model,BSC-LT/salamandra-2b,delta,analogy_acc,0.05678571428571428,-0.012857142857142853,0.13274404761904762,14
family,ment,delta,analogy_acc,0.07499999999999998,-0.09000000000000005,0.22999999999999998,5
family,dim_et,delta,analogy_acc,0.006666666666666665,-0.09333333333333334,0.12666666666666668,5
family,agent_dor,delta,analogy_acc,0.016000000000000014,-0.04799999999999997,0.08800000000000004,5
family,nom_cio,delta,analogy_acc,0.0,-0.06666666666666665,0.04166666666666667,5
family,plural,delta,analogy_acc,0.18666666666666668,0.039999999999999994,0.33999999999999997,5
family,verb_em,delta,analogy_acc,0.088,-0.06399999999999999,0.192,5
family,gender_a,delta,analogy_acc,0.040000000000000015,-0.01599999999999997,0.096,5
family,gem_lla,delta,analogy_acc,0.0,0.0,0.0,5
family,cedilla,delta,analogy_acc,0.12307692307692308,0.03076923076923077,0.26153846153846155,5
family,ny,delta,analogy_acc,0.08333333333333334,0.016666666666666673,0.14999999999999997,5
family,pre_des,delta,analogy_acc,0.14999999999999997,0.09999999999999995,0.19999999999999998,5
family,pre_re,delta,analogy_acc,0.1,-2.2204460492503132e-17,0.18333333333333335,5
family,pre_in,delta,analogy_acc,0.08333333333333336,-0.04999999999999997,0.18333333333333335,5
family,nom_cio_d1,delta,analogy_acc,0.016666666666666673,0.0,0.050000000000000024,5
model,google/gemma-2-2b,delta_vs_random,direction_consistency,0.16127981420132922,0.12716964944763653,0.20013151173228128,14
model,google/gemma-4-E2B,delta_vs_random,direction_consistency,0.07469459695770672,0.0344532864312408,0.12196693588414688,14
model,Qwen/Qwen2-1.5B,delta_vs_random,direction_consistency,0.13087749658192072,0.09487249299537236,0.16684132506713537,14
model,Qwen/Qwen3.5-4B-Base,delta_vs_random,direction_consistency,0.15040435015498924,0.11109225668219187,0.1951727341400511,14
model,BSC-LT/salamandra-2b,delta_vs_random,direction_consistency,0.22424780670220018,0.1899343499521916,0.256499704304076,14
family,ment,delta_vs_random,direction_consistency,0.19005405076432866,0.1554690486221798,0.22852214827301842,5
family,dim_et,delta_vs_random,direction_consistency,0.10516139991317619,0.05599659575162972,0.1505262090845011,5
family,agent_dor,delta_vs_random,direction_consistency,0.13159163318892225,0.07308249702910177,0.17987474995308908,5
family,nom_cio,delta_vs_random,direction_consistency,0.03899187347383402,-0.03609621320685337,0.11457588041040592,5
family,plural,delta_vs_random,direction_consistency,0.29644573004090957,0.27951291648245,0.3136190988834514,5
family,verb_em,delta_vs_random,direction_consistency,0.12474709875713766,0.06232821766443393,0.16496581332197668,5
family,gender_a,delta_vs_random,direction_consistency,0.19879878139824317,0.12344928534644928,0.2666073101917485,5
family,gem_lla,delta_vs_random,direction_consistency,0.14035807064794886,0.0924336443950206,0.1923904963436352,5
family,cedilla,delta_vs_random,direction_consistency,0.0668353536258257,0.04430435974802681,0.09538466692197586,5
family,ny,delta_vs_random,direction_consistency,0.13209178979760772,0.08322473845869273,0.18444162462032612,5
family,pre_des,delta_vs_random,direction_consistency,0.18091110908896485,0.12936111996479957,0.26016614407774774,5
family,pre_re,delta_vs_random,direction_consistency,0.18260804655618618,0.1304957351275035,0.22957680623230495,5
family,pre_in,delta_vs_random,direction_consistency,0.16055989999858852,0.11031226626149883,0.21493833341115992,5
family,nom_cio_d1,delta_vs_random,direction_consistency,0.12705654362313562,0.05607418561825499,0.19889457772688207,5
model,google/gemma-2-2b,delta_vs_random,analogy_acc,0.1206318681318681,0.05503663003663003,0.19599587912087907,14
model,google/gemma-4-E2B,delta_vs_random,analogy_acc,0.2317857142857143,0.13151785714285716,0.3364613095238095,14
model,Qwen/Qwen2-1.5B,delta_vs_random,analogy_acc,0.08989926739926739,0.03288736263736263,0.14028319597069594,14
model,Qwen/Qwen3.5-4B-Base,delta_vs_random,analogy_acc,0.2096978021978022,0.14690178571428575,0.279834706959707,14
model,BSC-LT/salamandra-2b,delta_vs_random,analogy_acc,0.39294871794871794,0.3205931776556777,0.46804693223443217,14
family,ment,delta_vs_random,analogy_acc,0.12499999999999996,-0.030000000000000072,0.27999999999999997,5
family,dim_et,delta_vs_random,analogy_acc,0.21333333333333332,0.07333333333333333,0.35333333333333333,5
family,agent_dor,delta_vs_random,analogy_acc,0.264,0.19200000000000006,0.33599999999999997,5
family,nom_cio,delta_vs_random,analogy_acc,0.15833333333333335,0.0916666666666667,0.2333333333333333,5
family,plural,delta_vs_random,analogy_acc,0.38,0.2133333333333333,0.5466666666666666,5
family,verb_em,delta_vs_random,analogy_acc,0.24,0.13599999999999995,0.328,5
family,gender_a,delta_vs_random,analogy_acc,0.17599999999999996,0.09599999999999997,0.25599999999999995,5
family,gem_lla,delta_vs_random,analogy_acc,0.016666666666666673,0.0,0.050000000000000024,5
family,cedilla,delta_vs_random,analogy_acc,0.16923076923076924,0.06153846153846152,0.29230769230769227,5
family,ny,delta_vs_random,analogy_acc,0.2,0.08333333333333334,0.3166666666666667,5
family,pre_des,delta_vs_random,analogy_acc,0.4333333333333333,0.3333333333333333,0.5166666666666666,5
family,pre_re,delta_vs_random,analogy_acc,0.2833333333333333,0.09999999999999998,0.4833333333333334,5
family,pre_in,delta_vs_random,analogy_acc,0.18333333333333335,-0.03333333333333331,0.4166666666666667,5
family,nom_cio_d1,delta_vs_random,analogy_acc,0.08333333333333334,0.016666666666666673,0.16666666666666669,5
model,google/gemma-2-2b,delta_morfessor,direction_consistency,0.09634148268548388,0.04723538919985921,0.14606155970153872,14
model,google/gemma-4-E2B,delta_morfessor,direction_consistency,0.05534191739910632,0.028638418472798924,0.08507633757007171,14
model,Qwen/Qwen2-1.5B,delta_morfessor,direction_consistency,0.060603727647332864,0.017316939471101037,0.10447123610009625,14
model,Qwen/Qwen3.5-4B-Base,delta_morfessor,direction_consistency,0.06655142245755412,0.027688336059096427,0.1091904498728284,14
model,BSC-LT/salamandra-2b,delta_morfessor,direction_consistency,0.13815049234904273,0.08594793983190513,0.19044462094784995,14
family,ment,delta_morfessor,direction_consistency,0.053811342595519195,0.03654882208346481,0.0671050038698043,5
family,dim_et,delta_morfessor,direction_consistency,0.10768020741724267,0.05617653808971991,0.1605670148351049,5
family,agent_dor,delta_morfessor,direction_consistency,-0.001727854994483935,-0.04939035639158178,0.057354313955783234,5
family,nom_cio,delta_morfessor,direction_consistency,0.0009424541509355011,-0.02451754547192615,0.035630844998736144,5
family,plural,delta_morfessor,direction_consistency,0.17888461621618237,0.15943358058568918,0.20917660782039288,5
family,verb_em,delta_morfessor,direction_consistency,0.05026311552745748,-0.0003823047881729158,0.11900024237524869,5
family,gender_a,delta_morfessor,direction_consistency,0.10583110953580892,0.08337848465168284,0.1289807589804583,5
family,gem_lla,delta_morfessor,direction_consistency,0.019565502902539177,-0.004196414345353594,0.04645022555419372,5
family,cedilla,delta_morfessor,direction_consistency,0.02627281316479311,-0.0007904908449504866,0.05401708591785874,5
family,ny,delta_morfessor,direction_consistency,0.07934796729206853,0.059223896822231226,0.09627255000310161,5
family,pre_des,delta_morfessor,direction_consistency,0.15099383592289525,0.09263627096735301,0.22486377436195912,5
family,pre_re,delta_morfessor,direction_consistency,0.18669059362020365,0.13350011424818847,0.2357732713682536,5
family,pre_in,delta_morfessor,direction_consistency,0.23129678139535975,0.16656175196963433,0.2934932692998628,5
family,nom_cio_d1,delta_morfessor,direction_consistency,-0.02228316563866588,-0.04747655558974684,0.0,5
model,google/gemma-2-2b,delta_morfessor,analogy_acc,0.03857142857142857,-0.0060982142857142815,0.08478273809523809,14
model,google/gemma-4-E2B,delta_morfessor,analogy_acc,0.07954212454212455,0.011654761904761897,0.15789285714285708,14
model,Qwen/Qwen2-1.5B,delta_morfessor,analogy_acc,0.020119047619047623,-0.02595535714285713,0.06441964285714284,14
model,Qwen/Qwen3.5-4B-Base,delta_morfessor,analogy_acc,0.12054945054945056,0.05950595238095238,0.18765315934065926,14
model,BSC-LT/salamandra-2b,delta_morfessor,analogy_acc,-0.01676739926739928,-0.11238507326007326,0.08142948717948716,14
family,ment,delta_morfessor,analogy_acc,0.15999999999999998,0.09500000000000001,0.24499999999999997,5
family,dim_et,delta_morfessor,analogy_acc,0.05333333333333332,-0.026666666666666707,0.15333333333333335,5
family,agent_dor,delta_morfessor,analogy_acc,-0.072,-0.23199999999999998,0.03199999999999999,5
family,nom_cio,delta_morfessor,analogy_acc,-0.1,-0.11666666666666667,-0.08333333333333333,5
family,plural,delta_morfessor,analogy_acc,0.18,0.039999999999999994,0.32,5
family,verb_em,delta_morfessor,analogy_acc,0.07199999999999998,-0.09600000000000002,0.1841999999999998,5
family,gender_a,delta_morfessor,analogy_acc,-0.007999999999999985,-0.07199999999999998,0.048,5
family,gem_lla,delta_morfessor,analogy_acc,-0.050000000000000024,-0.08333333333333337,-0.016666666666666673,5
family,cedilla,delta_morfessor,analogy_acc,0.09230769230769229,0.015384615384615375,0.19999999999999996,5
family,ny,delta_morfessor,analogy_acc,0.11666666666666667,0.016666666666666673,0.23333333333333334,5
family,pre_des,delta_morfessor,analogy_acc,0.09999999999999998,0.049999999999999975,0.14999999999999997,5
family,pre_re,delta_morfessor,analogy_acc,0.08333333333333333,-2.2204460492503132e-17,0.14999999999999997,5
family,pre_in,delta_morfessor,analogy_acc,0.08333333333333336,-0.04999999999999997,0.18333333333333335,5
family,nom_cio_d1,delta_morfessor,analogy_acc,-0.033333333333333326,-0.09999999999999998,0.0,5
model,google/gemma-2-2b,delta_rules,direction_consistency,0.09120761328818228,0.043638178496610336,0.13738950682080298,14
model,google/gemma-4-E2B,delta_rules,direction_consistency,0.032671466752130195,0.0019541346990541537,0.06435950502026441,14
model,Qwen/Qwen2-1.5B,delta_rules,direction_consistency,0.04793869887948827,0.0033415935837555455,0.09006394517756676,14
model,Qwen/Qwen3.5-4B-Base,delta_rules,direction_consistency,0.05290155120360302,0.01773099008380145,0.09222936233592564,14
model,BSC-LT/salamandra-2b,delta_rules,direction_consistency,0.16754162118642388,0.11217778956076657,0.2268451441458249,14
family,ment,delta_rules,direction_consistency,0.0024121817152721993,-0.024224488709823334,0.026655915979951768,5
family,dim_et,delta_rules,direction_consistency,0.09703396229078856,0.030763078908305895,0.17892290545899656,5
family,agent_dor,delta_rules,direction_consistency,-0.026142447731342177,-0.08056529810924909,0.044005091387449055,5
family,nom_cio,delta_rules,direction_consistency,0.00254964033125471,-0.020259668232609586,0.030954172649838636,5
family,plural,delta_rules,direction_consistency,0.0873717272960142,0.05919143258899386,0.11961934830767613,5
family,verb_em,delta_rules,direction_consistency,0.0681906808392803,0.006718979641060008,0.15145786754856116,5
family,gender_a,delta_rules,direction_consistency,0.12724511440338246,0.08175207436623158,0.17575630011565804,5
family,gem_lla,delta_rules,direction_consistency,0.053470439822841075,0.02595309007534623,0.09007153188390433,5
family,cedilla,delta_rules,direction_consistency,0.021026541414190615,-0.03065351656137747,0.09229687138999934,5
family,ny,delta_rules,direction_consistency,0.0818806022714163,0.02904594915348121,0.15411918889613885,5
family,pre_des,delta_rules,direction_consistency,0.16919844414151325,0.10235335957510391,0.25904525098035797,5
family,pre_re,delta_rules,direction_consistency,0.19202331741459144,0.13883283804257626,0.24800379137002748,5
family,pre_in,delta_rules,direction_consistency,0.23129678139535975,0.16656175196963433,0.2934932692998628,5
