model,layer,family,condition,n_pairs,direction_consistency,pc1_var_ratio,analogy_acc,direction_consistency_ci_lo,direction_consistency_ci_hi,analogy_acc_ci_lo,analogy_acc_ci_hi
google/gemma-2-2b,6,agent_dor,native,25,0.5945430972479819,0.11855733625727025,0.96,,,,
google/gemma-2-2b,6,agent_dor,morphemic,25,0.6378312715179024,0.1493422541923405,1.0,,,,
google/gemma-2-2b,6,agent_dor,delta,25,0.04328817426992049,0.030784917935070266,0.040000000000000036,,,,
google/gemma-2-2b,6,agent_er,native,25,0.591762664355162,0.11033776014204495,1.0,,,,
google/gemma-2-2b,6,agent_er,morphemic,25,0.7059881972760808,0.17484905391412062,1.0,,,,
google/gemma-2-2b,6,agent_er,delta,25,0.11422553292091875,0.06451129377207566,0.0,,,,
google/gemma-2-2b,6,cedilla,native,13,0.5170944792090457,0.21691757269403078,1.0,,,,
google/gemma-2-2b,6,cedilla,morphemic,13,0.583416129155588,0.2515827118362211,1.0,,,,
google/gemma-2-2b,6,cedilla,delta,13,0.06632164994654233,0.03466513914219033,0.0,,,,
google/gemma-2-2b,6,dim_et,native,30,0.41477975090675395,0.07765162764289457,0.9333333333333333,,,,
google/gemma-2-2b,6,dim_et,morphemic,30,0.5316363258532043,0.142979421259376,0.9333333333333333,,,,
google/gemma-2-2b,6,dim_et,delta,30,0.11685657494645035,0.06532779361648142,0.0,,,,
google/gemma-2-2b,6,gem_lla,native,12,0.4637484964560537,0.1811519549712319,1.0,,,,
google/gemma-2-2b,6,gem_lla,morphemic,12,0.6338313967109811,0.28290051414284156,1.0,,,,
google/gemma-2-2b,6,gem_lla,delta,12,0.1700829002549274,0.10174855917160966,0.0,,,,
google/gemma-2-2b,6,gender_a,native,25,0.38996065263236984,0.10587049394394853,1.0,,,,
google/gemma-2-2b,6,gender_a,morphemic,25,0.6165560775098755,0.16622276354286547,0.96,,,,
google/gemma-2-2b,6,gender_a,delta,25,0.22659542487750567,0.060352269598916944,-0.040000000000000036,,,,
google/gemma-2-2b,6,ly,native,40,0.6987898249677944,0.10688776143301428,1.0,,,,
google/gemma-2-2b,6,ly,morphemic,40,0.7469579161989716,0.13365371504657408,1.0,,,,
google/gemma-2-2b,6,ly,delta,40,0.04816809123117716,0.02676595361355981,0.0,,,,
google/gemma-2-2b,6,ment,native,40,0.55279975062822,0.09746219948719645,1.0,,,,
google/gemma-2-2b,6,ment,morphemic,40,0.5892763998287867,0.0933228980035254,0.975,,,,
google/gemma-2-2b,6,ment,delta,40,0.0364766492005667,-0.004139301483671046,-0.025000000000000022,,,,
google/gemma-2-2b,6,nom_cio,native,24,0.7145890885773785,0.12335183198615772,1.0,,,,
