model,phenomenon,good,correct_native,correct_morphemic
google/gemma-2-2b,number,gats,1,0
google/gemma-2-2b,number,llibres,1,0
google/gemma-2-2b,number,arbres,1,0
google/gemma-2-2b,number,ocells,1,0
google/gemma-2-2b,number,problemes,1,0
google/gemma-2-2b,number,cotxes,1,0
google/gemma-2-2b,number,amics,1,0
google/gemma-2-2b,number,flors,1,0
google/gemma-2-2b,number,cases,0,0
google/gemma-2-2b,number,gots,1,0
google/gemma-2-2b,number,peixos,0,0
google/gemma-2-2b,number,boscos,1,0
google/gemma-2-2b,gender_art,gata,0,0
google/gemma-2-2b,gender_art,nena,1,0
google/gemma-2-2b,gender_art,professora,1,1
google/gemma-2-2b,gender_art,doctora,1,1
google/gemma-2-2b,gender_art,senyora,1,1
google/gemma-2-2b,gender_art,filla,1,1
google/gemma-2-2b,gender_adj,bonica,1,0
google/gemma-2-2b,gender_adj,contenta,1,0
google/gemma-2-2b,gender_adj,llarga,1,0
google/gemma-2-2b,gender_adj,bona,1,1
google/gemma-2-2b,gender_adj,blanca,1,0
google/gemma-2-2b,gender_adj,oberta,1,1
google/gemma-2-2b,nadj_number,bonics,0,0
google/gemma-2-2b,nadj_number,noves,1,0
google/gemma-2-2b,nadj_number,interessants,1,0
google/gemma-2-2b,nadj_number,alts,1,0
google/gemma-2-2b,nadj_number,vermelles,1,0
google/gemma-2-2b,nadj_number,simpàtics,1,0
google/gemma-4-E2B,number,gats,1,0
google/gemma-4-E2B,number,llibres,1,0
google/gemma-4-E2B,number,arbres,1,0
google/gemma-4-E2B,number,ocells,1,0
google/gemma-4-E2B,number,problemes,1,0
google/gemma-4-E2B,number,cotxes,1,0
google/gemma-4-E2B,number,amics,1,0
google/gemma-4-E2B,number,flors,0,0
google/gemma-4-E2B,number,cases,1,0
google/gemma-4-E2B,number,gots,1,0
google/gemma-4-E2B,number,peixos,0,0
google/gemma-4-E2B,number,boscos,1,0
google/gemma-4-E2B,gender_art,gata,1,0
google/gemma-4-E2B,gender_art,nena,1,0
google/gemma-4-E2B,gender_art,professora,1,1
google/gemma-4-E2B,gender_art,doctora,1,1
google/gemma-4-E2B,gender_art,senyora,1,0
google/gemma-4-E2B,gender_art,filla,1,0
google/gemma-4-E2B,gender_adj,bonica,1,0
google/gemma-4-E2B,gender_adj,contenta,1,1
google/gemma-4-E2B,gender_adj,llarga,1,0
google/gemma-4-E2B,gender_adj,bona,1,0
google/gemma-4-E2B,gender_adj,blanca,1,0
google/gemma-4-E2B,gender_adj,oberta,1,1
google/gemma-4-E2B,nadj_number,bonics,1,0
google/gemma-4-E2B,nadj_number,noves,1,1
google/gemma-4-E2B,nadj_number,interessants,1,0
google/gemma-4-E2B,nadj_number,alts,1,0
google/gemma-4-E2B,nadj_number,vermelles,1,0
google/gemma-4-E2B,nadj_number,simpàtics,1,0
Qwen/Qwen2-1.5B,number,gats,1,0
Qwen/Qwen2-1.5B,number,llibres,1,0
Qwen/Qwen2-1.5B,number,arbres,1,0
Qwen/Qwen2-1.5B,number,ocells,1,0
Qwen/Qwen2-1.5B,number,problemes,1,0
Qwen/Qwen2-1.5B,number,cotxes,0,0
Qwen/Qwen2-1.5B,number,amics,1,0
Qwen/Qwen2-1.5B,number,flors,0,0
Qwen/Qwen2-1.5B,number,cases,0,0
Qwen/Qwen2-1.5B,number,gots,1,0
Qwen/Qwen2-1.5B,number,peixos,0,0
Qwen/Qwen2-1.5B,number,boscos,1,1
Qwen/Qwen2-1.5B,gender_art,gata,1,0
Qwen/Qwen2-1.5B,gender_art,nena,1,0
Qwen/Qwen2-1.5B,gender_art,professora,1,1
Qwen/Qwen2-1.5B,gender_art,doctora,1,1
Qwen/Qwen2-1.5B,gender_art,senyora,1,1
Qwen/Qwen2-1.5B,gender_art,filla,0,0
Qwen/Qwen2-1.5B,gender_adj,bonica,1,0
Qwen/Qwen2-1.5B,gender_adj,contenta,1,1
Qwen/Qwen2-1.5B,gender_adj,llarga,1,0
Qwen/Qwen2-1.5B,gender_adj,bona,1,0
Qwen/Qwen2-1.5B,gender_adj,blanca,1,0
Qwen/Qwen2-1.5B,gender_adj,oberta,1,0
Qwen/Qwen2-1.5B,nadj_number,bonics,0,0
Qwen/Qwen2-1.5B,nadj_number,noves,0,0
Qwen/Qwen2-1.5B,nadj_number,interessants,1,0
Qwen/Qwen2-1.5B,nadj_number,alts,0,0
Qwen/Qwen2-1.5B,nadj_number,vermelles,1,0
Qwen/Qwen2-1.5B,nadj_number,simpàtics,1,0
Qwen/Qwen3.5-4B-Base,number,gats,1,0
Qwen/Qwen3.5-4B-Base,number,llibres,1,0
Qwen/Qwen3.5-4B-Base,number,arbres,1,0
Qwen/Qwen3.5-4B-Base,number,ocells,1,1
Qwen/Qwen3.5-4B-Base,number,problemes,1,0
Qwen/Qwen3.5-4B-Base,number,cotxes,1,0
Qwen/Qwen3.5-4B-Base,number,amics,1,0
Qwen/Qwen3.5-4B-Base,number,flors,1,0
Qwen/Qwen3.5-4B-Base,number,cases,1,0
Qwen/Qwen3.5-4B-Base,number,gots,1,0
Qwen/Qwen3.5-4B-Base,number,peixos,0,0
Qwen/Qwen3.5-4B-Base,number,boscos,1,0
Qwen/Qwen3.5-4B-Base,gender_art,gata,1,0
Qwen/Qwen3.5-4B-Base,gender_art,nena,1,0
Qwen/Qwen3.5-4B-Base,gender_art,professora,1,1
Qwen/Qwen3.5-4B-Base,gender_art,doctora,1,1
Qwen/Qwen3.5-4B-Base,gender_art,senyora,1,0
Qwen/Qwen3.5-4B-Base,gender_art,filla,1,1
Qwen/Qwen3.5-4B-Base,gender_adj,bonica,1,0
Qwen/Qwen3.5-4B-Base,gender_adj,contenta,1,1
Qwen/Qwen3.5-4B-Base,gender_adj,llarga,1,0
Qwen/Qwen3.5-4B-Base,gender_adj,bona,1,1
Qwen/Qwen3.5-4B-Base,gender_adj,blanca,1,0
Qwen/Qwen3.5-4B-Base,gender_adj,oberta,1,0
Qwen/Qwen3.5-4B-Base,nadj_number,bonics,1,0
Qwen/Qwen3.5-4B-Base,nadj_number,noves,1,1
Qwen/Qwen3.5-4B-Base,nadj_number,interessants,1,0
Qwen/Qwen3.5-4B-Base,nadj_number,alts,1,0
Qwen/Qwen3.5-4B-Base,nadj_number,vermelles,1,0
Qwen/Qwen3.5-4B-Base,nadj_number,simpàtics,1,0
BSC-LT/salamandra-2b,number,gats,1,0
BSC-LT/salamandra-2b,number,llibres,1,0
BSC-LT/salamandra-2b,number,arbres,1,0
BSC-LT/salamandra-2b,number,ocells,1,0
BSC-LT/salamandra-2b,number,problemes,1,0
BSC-LT/salamandra-2b,number,cotxes,1,0
BSC-LT/salamandra-2b,number,amics,1,0
BSC-LT/salamandra-2b,number,flors,1,0
BSC-LT/salamandra-2b,number,cases,1,0
BSC-LT/salamandra-2b,number,gots,1,0
BSC-LT/salamandra-2b,number,peixos,1,0
BSC-LT/salamandra-2b,number,boscos,1,0
BSC-LT/salamandra-2b,gender_art,gata,1,0
BSC-LT/salamandra-2b,gender_art,nena,1,0
BSC-LT/salamandra-2b,gender_art,professora,1,1
BSC-LT/salamandra-2b,gender_art,doctora,1,1
