family,derived,n_pred_cuts,n_gold_cuts,precision,recall
ment,ràpidament,1,1,0.0,0.0
ment,lentament,1,1,0.0,0.0
ment,clarament,1,1,0.0,0.0
ment,fàcilment,1,1,1.0,1.0
ment,difícilment,1,1,1.0,1.0
ment,fortament,1,1,0.0,0.0
ment,dolçament,1,1,0.0,0.0
ment,tristament,1,1,0.0,0.0
ment,netament,1,1,0.0,0.0
ment,segurament,1,1,0.0,0.0
ment,precisament,1,1,0.0,0.0
ment,normalment,1,1,1.0,1.0
ment,generalment,1,1,1.0,1.0
ment,públicament,1,1,0.0,0.0
ment,bàsicament,1,1,0.0,0.0
ment,directament,1,1,0.0,0.0
ment,profundament,1,1,0.0,0.0
ment,intensament,1,1,0.0,0.0
ment,exactament,1,1,0.0,0.0
ment,perfectament,1,1,0.0,0.0
ment,absolutament,1,1,0.0,0.0
ment,relativament,2,1,0.0,0.0
ment,seriosament,2,1,0.0,0.0
ment,nerviosament,2,1,0.0,0.0
ment,lliurement,1,1,1.0,1.0
ment,alegrement,1,1,1.0,1.0
ment,simplement,1,1,1.0,1.0
ment,possiblement,1,1,1.0,1.0
ment,evidentment,1,1,1.0,1.0
ment,recentment,1,1,1.0,1.0
ment,urgentment,1,1,1.0,1.0
ment,atentament,1,1,0.0,0.0
ment,fredament,1,1,0.0,0.0
ment,antigament,1,1,0.0,0.0
ment,llargament,1,1,0.0,0.0
ment,curtament,1,1,0.0,0.0
ment,ricament,1,1,0.0,0.0
ment,novament,1,1,0.0,0.0
ment,greument,1,1,1.0,1.0
ment,amplament,1,1,0.0,0.0
dim_et,gatet,1,1,1.0,1.0
dim_et,caseta,1,1,1.0,1.0
dim_et,finestreta,1,1,1.0,1.0
dim_et,tauleta,1,1,1.0,1.0
dim_et,llibret,1,1,0.0,0.0
dim_et,arbret,1,1,0.0,0.0
dim_et,gotet,1,1,1.0,1.0
dim_et,nenet,1,1,1.0,1.0
dim_et,ocellet,1,1,1.0,1.0
dim_et,floreta,1,1,1.0,1.0
dim_et,porteta,1,1,1.0,1.0
dim_et,peuet,1,1,1.0,1.0
dim_et,cotxet,1,1,0.0,0.0
dim_et,llitet,1,1,1.0,1.0
dim_et,pontet,1,1,1.0,1.0
dim_et,ditet,1,1,1.0,1.0
dim_et,ullet,1,1,1.0,1.0
dim_et,caminet,1,1,0.0,0.0
dim_et,jardinet,1,1,0.0,0.0
