model,task,condition,accuracy,n
google/gemma-2-2b,number,native,0.9616666666666667,158
google/gemma-2-2b,number,morphemic,0.975,158
google/gemma-2-2b,gender,native,0.9178571428571429,74
google/gemma-2-2b,gender,morphemic,0.8964285714285716,74
google/gemma-4-E2B,number,native,0.8729166666666666,158
google/gemma-4-E2B,number,morphemic,0.8800000000000001,158
google/gemma-4-E2B,gender,native,0.825,74
google/gemma-4-E2B,gender,morphemic,0.7357142857142858,74
Qwen/Qwen2-1.5B,number,native,0.9108333333333334,158
Qwen/Qwen2-1.5B,number,morphemic,0.9104166666666667,158
Qwen/Qwen2-1.5B,gender,native,0.8196428571428571,74
Qwen/Qwen2-1.5B,gender,morphemic,0.8107142857142857,74
Qwen/Qwen3.5-4B-Base,number,native,0.9041666666666666,158
Qwen/Qwen3.5-4B-Base,number,morphemic,0.89875,158
Qwen/Qwen3.5-4B-Base,gender,native,0.8375,74
Qwen/Qwen3.5-4B-Base,gender,morphemic,0.8410714285714285,74
BSC-LT/salamandra-2b,number,native,0.9370833333333334,158
BSC-LT/salamandra-2b,number,morphemic,0.9745833333333334,158
BSC-LT/salamandra-2b,gender,native,0.9875,74
BSC-LT/salamandra-2b,gender,morphemic,0.9875,74
