model,condition,seed,epochs,lr,optim,final_eval_loss,final_perplexity,n_train_tokens,seq_len
google/gemma-2-2b,A,42,1.0,2e-05,adamw_bnb_8bit,2.2599711418151855,9.582812620196446,24750000,512
google/gemma-2-2b,A,43,1.0,2e-05,adamw_bnb_8bit,2.258209228515625,9.565943400608877,24750000,512
google/gemma-2-2b,A,44,1.0,2e-05,adamw_bnb_8bit,2.2602782249450684,9.585755792165036,24750000,512
google/gemma-2-2b,B,42,1.0,2e-05,adamw_bnb_8bit,2.1495862007141113,8.58130672379432,24750000,512
google/gemma-2-2b,B,43,1.0,2e-05,adamw_bnb_8bit,2.1488089561462402,8.57463954110942,24750000,512
google/gemma-2-2b,B,44,1.0,2e-05,adamw_bnb_8bit,2.143606185913086,8.530143513420281,24750000,512
Qwen/Qwen2-1.5B,A,42,1.0,2e-05,adamw_bnb_8bit,2.4786269664764404,11.924879912301433,24750000,512
Qwen/Qwen2-1.5B,A,43,1.0,2e-05,adamw_bnb_8bit,2.4793803691864014,11.933867534367606,24750000,512
Qwen/Qwen2-1.5B,A,44,1.0,2e-05,adamw_bnb_8bit,2.4792981147766113,11.932885961506955,24750000,512
Qwen/Qwen2-1.5B,B,42,1.0,2e-05,adamw_bnb_8bit,2.2744815349578857,9.722876733854923,24750000,512
Qwen/Qwen2-1.5B,B,43,1.0,2e-05,adamw_bnb_8bit,2.2769505977630615,9.746912788210834,24750000,512
Qwen/Qwen2-1.5B,B,44,1.0,2e-05,adamw_bnb_8bit,2.2779951095581055,9.757098872399835,24750000,512
Qwen/Qwen3.5-4B-Base,A,42,1.0,2e-05,adamw_bnb_8bit,2.1641948223114014,8.70758793795137,24750000,512
Qwen/Qwen3.5-4B-Base,A,43,1.0,2e-05,adamw_bnb_8bit,2.164518356323242,8.710405594589691,24750000,512
Qwen/Qwen3.5-4B-Base,A,44,1.0,2e-05,adamw_bnb_8bit,2.16709566116333,8.732883919392723,24750000,512
Qwen/Qwen3.5-4B-Base,B,42,1.0,2e-05,adamw_bnb_8bit,2.0518040657043457,7.7819275588040915,24750000,512
Qwen/Qwen3.5-4B-Base,B,43,1.0,2e-05,adamw_bnb_8bit,2.0513393878936768,7.778312309771337,24750000,512
Qwen/Qwen3.5-4B-Base,B,44,1.0,2e-05,adamw_bnb_8bit,2.050182819366455,7.769321358886595,24750000,512
BSC-LT/salamandra-2b,A,42,1.0,2e-05,adamw_bnb_8bit,2.4087276458740234,11.11980381214432,24750000,512
BSC-LT/salamandra-2b,A,43,1.0,2e-05,adamw_bnb_8bit,2.408834218978882,11.120988947312641,24750000,512
BSC-LT/salamandra-2b,A,44,1.0,2e-05,adamw_bnb_8bit,2.412896156311035,11.166253576295002,24750000,512
BSC-LT/salamandra-2b,B,42,1.0,2e-05,adamw_bnb_8bit,2.0881173610687256,8.069708507074596,24750000,512
BSC-LT/salamandra-2b,B,43,1.0,2e-05,adamw_bnb_8bit,2.0836362838745117,8.03362841952249,24750000,512
BSC-LT/salamandra-2b,B,44,1.0,2e-05,adamw_bnb_8bit,2.0868635177612305,8.059596697706567,24750000,512
